1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice
Captain America,Falcon,Black Widow,Iron Man,Thor
Black Widow,Thor,Falcon,Captain America,Iron Man
Black Widow,Falcon,Iron Man,Captain America,Thor
Iron Man,Black Widow,Captain America,Falcon,Thor
Falcon,Thor,Captain America,Iron Man,Black Widow
Black Widow,Falcon,Iron Man,Captain America,Thor
Black Widow,Iron Man,Falcon,Captain America,Thor
Captain America,Falcon,Black Widow,Thor,Iron Man
Captain America,Falcon,Black Widow,Iron Man,Thor
Falcon,Thor,Captain America,Black Widow,Iron Man
Black Widow,Falcon,Falcon,Falcon,Thor
Black Widow,Captain America,Falcon,Iron Man,Thor
Thor,Falcon,Thor,Thor,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Thor,Black Widow,Falcon,Iron Man,Captain America
Falcon,Black Widow,Captain America,Iron Man,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Falcon,Black Widow,Thor,Captain America,Iron Man
Black Widow,Falcon,Captain America,Iron Man,Thor
Captain America,Falcon,Thor,Thor,Black Widow
Iron Man,Captain America,Black Widow,Falcon,Thor
Black Widow,Falcon,Thor,Captain America,Iron Man
Black Widow,Black Widow,Falcon,Falcon,Falcon
Falcon,Black Widow,Captain America,Thor,Iron Man
Black Widow,Captain America,Falcon,Iron Man,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Falcon,Black Widow,Captain America,Iron Man,Thor
Black Widow,Thor,Falcon,Iron Man,Captain America
Black Widow,Falcon,Captain America,Iron Man,Thor
Falcon,Thor,Black Widow,Captain America,Iron Man
Captain America,Iron Man,Falcon,Black Widow,Thor
Captain America,Falcon,Black Widow,Black Widow,Black Widow
Falcon,Thor,Black Widow,Captain America,Iron Man
Captain America,Falcon,Thor,Iron Man,Black Widow
Black Widow,Falcon,Captain America,Thor,Iron Man
Captain America,Falcon,Black Widow,Thor,Iron Man
Black Widow,Falcon,Captain America,Thor,Iron Man
Thor,Falcon,Black Widow,Captain America,Iron Man
Captain America,Falcon,Black Widow,Thor,Iron Man
Black Widow,Captain America,Falcon,Iron Man,Thor
Black Widow,Falcon,Thor,Captain America,Iron Man
Thor,Falcon,Black Widow,Captain America,Iron Man
Black Widow,Falcon,Captain America,Iron Man,Thor
Captain America,Falcon,Black Widow,Iron Man,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Falcon,Black Widow,Thor,Captain America,Iron Man
Falcon,Thor,Black Widow,Thor,Thor
Thor,Thor,Thor,Thor,Thor
Falcon,Black Widow,Captain America,Thor,Iron Man
Iron Man,Black Widow,Captain America,Falcon,Thor
Falcon,Iron Man,Black Widow,Captain America,Thor
Iron Man,Falcon,Black Widow,Captain America,Captain America
Captain America,Falcon,Black Widow,Iron Man,Thor
Thor,Falcon,Black Widow,Captain America,Iron Man
Iron Man,Captain America,Black Widow,Falcon,Thor
Thor,Black Widow,Falcon,Iron Man,Captain America
Captain America,Iron Man,Falcon,Black Widow,Thor
Thor,Thor,Thor,Thor,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Iron Man,Captain America,Falcon,Black Widow,Thor
Thor,Black Widow,Falcon,Iron Man,Captain America
Black Widow,Black Widow,Black Widow,Falcon,Falcon
Thor,Falcon,Black Widow,Iron Man,Captain America
Black Widow,Thor,Falcon,Black Widow,Black Widow
Falcon,Black Widow,Thor,Captain America,Iron Man
Thor,Falcon,Black Widow,Captain America,Iron Man
Iron Man,Black Widow,Captain America,Falcon,Thor
Thor,Thor,Falcon,Falcon,Black Widow
Falcon,Black Widow,Captain America,Iron Man,Thor
Black Widow,Falcon,Thor,Captain America,Iron Man
Falcon,Captain America,Thor,Black Widow,Iron Man
Captain America,Falcon,Iron Man,Black Widow,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Black Widow,Falcon,Captain America,Iron Man,Captain America
Iron Man,Captain America,Black Widow,Falcon,Thor
Falcon,Falcon,Captain America,Captain America,Thor
Falcon,Black Widow,Captain America,Thor,Iron Man
Black Widow,Iron Man,Falcon,Captain America,Thor
Black Widow,Black Widow,Black Widow,Black Widow,Black Widow
Falcon,Thor,Black Widow,Black Widow,Thor
Black Widow,Falcon,Iron Man,Captain America,Thor
Falcon,Captain America,Iron Man,Iron Man,Iron Man
Black Widow,Black Widow,Black Widow,Falcon,Falcon
Falcon,Black Widow,Iron Man,Captain America,Thor
Falcon,Falcon,Thor,Thor,Thor
Falcon,Black Widow,Thor,Captain America,Iron Man
Thor,Thor,Thor,Thor,Falcon
Black Widow,Falcon,Thor,Captain America,Iron Man
Captain America,Falcon,Iron Man,Black Widow,Thor
Black Widow,Falcon,Thor,Captain America,Iron Man
Thor,Thor,Thor,Thor,Thor
Black Widow,Falcon,Thor,Captain America,Iron Man
Thor,Black Widow,Falcon,Iron Man,Captain America
Falcon,Thor,Thor,Thor,Thor
Iron Man,Captain America,Black Widow,Black Widow,Black Widow
Falcon,Falcon,Falcon,Falcon,Falcon
Thor,Thor,Thor,Thor,Thor
Falcon,Black Widow,Thor,Thor,Thor
Thor,Black Widow,Falcon,Captain America,Iron Man